Date,Open,High,Low,Close,Volume,Market Cap
Jan-11-2018,15120.84,15152.80,13113.74,13501.98,15709420580.70,233207775642.16
Jan-10-2018,14705.37,15065.00,13822.15,15065.00,15928534701.27,241449931229.68
Jan-09-2018,15190.76,16153.56,14491.07,14710.60,16217162079.83,253514317696.63
Jan-08-2018,16265.34,18578.49,13940.42,15218.63,15332152745.85,263409481941.75
Jan-07-2018,17147.58,17147.58,15811.12,16515.29,14928537112.94,284648058031.05
Jan-06-2018,17025.66,17179.03,16336.06,17162.02,18955266190.68,288261636551.30
Jan-05-2018,15197.76,17161.64,14878.05,16989.16,19609983790.02,271843354493.04
Jan-04-2018,15168.97,16708.71,14286.67,15163.90,17853763690.76,251036679559.87
Jan-03-2018,14895.28,15646.50,14470.74,15079.15,15486225672.35,253883215212.24
Jan-02-2018,13644.69,15468.21,13195.87,14938.18,11519263413.10,234598412922.97
Jan-01-2018,14046.00,14521.97,12980.81,13577.19,9527935461.63,229222912291.63
Dec-31-2017,12596.02,14298.87,12395.29,14033.57,11818683013.59,229602652718.70
Dec-30-2017,14594.77,14597.77,11963.48,12732.36,12985849499.11,223296215550.06
Dec-29-2017,14600.37,15246.86,14283.94,14598.57,10934752171.17,247927328427.95
Dec-28-2017,15536.64,15805.69,13869.47,14432.83,11081659460.10,248019839494.58
Dec-27-2017,16076.91,17398.01,14692.59,15783.75,11113068163.24,268700778107.69
Dec-26-2017,13967.01,16408.58,13877.44,16101.50,10838918040.50,260115217157.26
Dec-25-2017,13868.87,14663.42,13044.10,13965.21,9706645690.31,235117450940.96
Dec-24-2017,14159.45,14976.38,12155.93,13812.88,10635564244.44,229493846731.42
Dec-23-2017,13784.65,15732.37,13647.82,14181.53,15948239607.75,248384683379.36
Dec-22-2017,15609.62,15883.31,11453.81,13693.83,16533427871.12,233948703033.86
Dec-21-2017,16632.22,17469.54,14987.57,15621.41,16452025087.30,268284841980.91
Dec-20-2017,17713.38,17936.13,16011.89,16599.69,17654903176.80,285300863876.29
Dec-19-2017,18969.61,19187.68,17249.07,17700.78,13477194445.89,309193886352.34
Dec-18-2017,19184.87,19257.12,18285.15,18931.20,11756211908.46,313979049076.55
Dec-17-2017,19417.86,19927.19,18860.39,19156.71,11897297708.14,325803227468.54
Dec-16-2017,17663.90,19634.97,17476.88,19427.47,9276249144.22,308773906119.54
Dec-15-2017,16456.76,18037.34,16450.69,17650.29,12710750385.06,296377313361.43
Dec-14-2017,16245.23,16830.66,15952.80,16454.93,10943444493.87,275916678471.36
Dec-13-2017,16819.04,16938.02,15757.99,16225.02,11262015467.43,286394884030.29
Dec-12-2017,16841.09,17416.95,16065.17,16798.03,10571922382.67,282585767672.39
Dec-11-2017,15322.77,17501.26,15322.77,16774.99,11387045739.00,281581170209.72
Dec-10-2017,15159.24,15913.39,13161.05,15565.86,10291186742.55,243397487905.85
Dec-09-2017,16578.11,16758.60,13516.39,15082.85,11568857443.70,258507420323.28
Dec-08-2017,18057.85,18524.47,14548.94,16592.80,16565034661.69,270616403517.86
Dec-07-2017,14060.91,18074.18,13771.22,18074.18,13326830861.23,263149179991.94
Dec-06-2017,11874.40,14076.49,11874.40,14063.25,8248840472.69,215506765594.40
Dec-05-2017,11665.23,11985.21,11595.80,11896.91,5704204856.89,197741067053.62
Dec-04-2017,11318.92,11645.10,11073.10,11645.10,5876343718.35,191174249569.54
Dec-03-2017,11048.84,11823.20,10842.24,11304.62,4439198029.60,190783469525.92
Dec-02-2017,10957.09,11336.67,10864.03,11052.13,5508931178.21,185463195267.97
Dec-01-2017,10215.70,11026.03,9685.54,10967.66,6944962388.94,172803148615.26
Nov-30-2017,9928.13,10819.73,9279.65,10273.83,9672067533.36,167350015163.72
Nov-29-2017,10169.64,11498.11,9380.15,9780.74,6568561632.14,175387674555.36
Nov-28-2017,9848.89,10191.74,9784.57,10165.72,4680883317.28,166954947467.83
Nov-27-2017,9372.69,9849.76,9362.59,9845.46,4702641439.37,161797383516.19
Nov-26-2017,8810.91,9533.16,8807.99,9359.83,4253796435.54,151671856061.00
Nov-25-2017,8264.41,8820.87,8225.06,8820.87,3764586979.15,142063750452.14
Nov-24-2017,8070.25,8379.71,7971.93,8268.09,4071299796.69,137529515577.14
Nov-23-2017,8227.36,8259.85,8079.71,8079.71,3341993773.68,136778595712.37
Nov-22-2017,8111.76,8298.53,8099.01,8235.70,3221352828.04,136381693087.01
Nov-21-2017,8211.56,8332.17,7812.70,8100.20,3930337074.26,136213790533.09
Nov-20-2017,8014.62,8260.81,7925.77,8216.80,2889658370.71,135335157185.61
Nov-19-2017,7775.15,8043.24,7654.56,8023.99,2603344061.49,130323209913.76
Nov-18-2017,7705.23,7844.77,7471.54,7786.06,4020111615.27,128436103256.26
Nov-17-2017,7858.64,8010.47,7562.15,7738.85,4169241053.77,130829538826.12
Nov-16-2017,7336.68,7950.36,7199.88,7849.17,3838014141.38,124808733486.59
Nov-15-2017,6647.51,7362.40,6647.51,7322.82,3292612976.00,117616882446.41
Nov-14-2017,6581.99,6780.15,6476.24,6647.35,4029832335.58,109844115216.13
Nov-13-2017,5989.78,6850.46,5948.68,6577.85,4220355222.09,106133349903.47
Nov-12-2017,6355.85,6480.46,5614.21,5991.38,3190841731.73,101632307451.50
Nov-11-2017,6598.37,6862.04,6279.38,6356.63,5021218783.01,109914851262.82
Nov-10-2017,7179.91,7379.15,6447.17,6613.68,3677208837.93,116088127630.82
Nov-09-2017,7470.07,7470.07,7109.10,7149.00,4128846790.46,120949042063.39
Nov-08-2017,7161.26,7732.57,7136.08,7486.65,2603250960.66,122749670296.77
Nov-07-2017,7048.21,7278.11,7048.21,7169.00,2605319540.77,118894803412.33
Nov-06-2017,7402.65,7461.22,7046.31,7046.31,2520722367.67,121854715778.98
Nov-05-2017,7394.38,7618.52,7325.72,7392.79,1991166333.19,124796270051.01
Nov-04-2017,7210.19,7474.33,7086.20,7391.41,2663039123.77,120410490998.60
Nov-03-2017,7085.74,7435.77,6994.68,7207.20,3709943045.78,120854975384.78
Nov-02-2017,6755.90,7461.51,6755.90,7083.60,3650530786.54,117105844479.88
Nov-01-2017,6433.50,6751.17,5828.48,6751.17,2422158632.53,108548952808.04
Oct-31-2017,6079.31,6443.12,6038.27,6443.12,1610869661.46,104013174138.21
Oct-30-2017,6124.06,6168.50,5996.44,6086.12,2191261217.66,101153498648.61
Oct-29-2017,5749.56,6216.52,5728.87,6146.59,1602732524.74,97802078340.39
Oct-28-2017,5757.66,5854.62,5664.16,5739.10,1469730114.56,96288173425.24
Oct-27-2017,5899.19,5981.33,5722.63,5752.45,1816195876.89,97141755422.62
Oct-26-2017,5720.45,5955.71,5684.73,5897.44,1826168891.62,97288968624.34
Oct-25-2017,5527.28,5727.94,5394.94,5725.30,2133954216.77,92262494594.86
Oct-24-2017,5929.84,5929.84,5505.11,5526.93,2982315189.53,94106793155.95
Oct-23-2017,6012.76,6071.36,5694.41,5946.93,1919863137.89,98037154916.30
Oct-22-2017,6035.41,6083.98,5763.93,6018.88,2075433694.17,98790684852.39
Oct-21-2017,5990.35,6188.33,5960.35,6035.45,2357226249.42,101572370054.01
Oct-20-2017,5668.16,6039.68,5613.49,6000.94,1661760080.05,96682383087.94
Oct-19-2017,5579.60,5720.29,5520.49,5666.94,2003847685.48,93912007254.40
Oct-18-2017,5611.88,5611.88,5157.87,5586.32,1765142429.12,89892381122.08
Oct-17-2017,5724.28,5731.29,5447.92,5608.72,1674450922.66,93184090989.84
Oct-16-2017,5682.17,5749.30,5570.77,5715.96,1868309529.01,94126663668.50
Oct-15-2017,5809.64,5834.51,5451.57,5671.36,1224709413.40,94193776389.97
Oct-14-2017,5645.58,5809.26,5591.20,5794.82,1828047911.49,94351059778.73
Oct-13-2017,5474.28,5827.69,5443.23,5648.56,3153824603.69,93797226575.61
Oct-12-2017,4817.77,5454.96,4809.47,5451.12,1567842029.44,85309596706.75
Oct-11-2017,4776.85,4940.05,4742.08,4813.91,1376093088.56,80021172487.68
Oct-10-2017,4778.17,4919.28,4577.27,4770.68,1844579888.53,80145431236.61
Oct-09-2017,4595.59,4867.04,4462.82,4778.27,1437590264.33,77370125493.10
Oct-08-2017,4399.84,4605.82,4391.70,4594.79,919376108.29,74813792711.00
Oct-07-2017,4347.02,4416.20,4312.67,4401.22,781030762.60,72450000112.85
Oct-06-2017,4308.29,4392.40,4296.68,4349.05,962450001.94,72496726484.86
Oct-05-2017,4237.44,4348.47,4157.65,4311.10,992029104.09,70637114450.47
Oct-04-2017,4312.22,4337.57,4206.30,4235.08,974139815.39,70852084569.66
Oct-03-2017,4378.06,4466.31,4237.16,4311.98,1146606607.67,72064864633.86
Oct-02-2017,4362.54,4446.34,4361.27,4384.19,1177332863.80,73578031457.26
Oct-01-2017,4313.69,4367.36,4258.48,4361.14,1043389065.96,71812315487.24
Sep-30-2017,4128.60,4320.66,4125.15,4312.82,995838914.77,71050825195.69
Sep-29-2017,4174.73,4192.72,4039.29,4128.30,1474570557.77,68398876224.61
Sep-28-2017,4200.67,4279.31,4109.70,4177.53,1848732125.44,69379222370.56
Sep-27-2017,3892.35,4210.05,3884.82,4199.28,1274666875.00,66933799781.36
Sep-26-2017,3926.07,3969.89,3869.90,3894.73,1228778118.47,65105337739.76
Sep-25-2017,3682.84,3950.25,3681.58,3923.13,1050890993.01,63422971695.59
Sep-24-2017,3792.40,3796.15,3666.90,3689.71,842150277.78,61671526337.28
Sep-23-2017,3630.70,3819.21,3594.58,3796.46,1089044670.14,61878172887.67
Sep-22-2017,3631.04,3758.27,3553.53,3635.53,1383438881.12,60364650542.18
Sep-21-2017,3905.95,3916.42,3613.63,3631.03,1233677824.56,63080994340.36
Sep-20-2017,3924.97,4031.39,3857.73,3917.47,1397132222.22,65307808706.50
Sep-19-2017,4065.20,4094.07,3868.87,3928.40,1705764201.39,65897480660.25
